Make,Model,Year Start,Year End,Front Sprocket,Rear Sprocket,Chain Size,Chain Length,Recommended Chain,Recommended Chain URL
Suzuki,DR-Z400S,2000,2024,15,44,520,110,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
KTM,125 SX,2004,2025,13,50,520,118,DID 520MX,https://www.didchain.com/collections/street-chains/products/520mx/
KTM,150 SX,2009,2022,13,50,520,118,DID 520MX,https://www.didchain.com/collections/street-chains/products/520mx/
KTM,250 SX,2004,2025,13,50,520,118,DID 520MX,https://www.didchain.com/collections/street-chains/products/520mx/
KTM,250 SX-F,2004,2010,13,48,520,118,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
KTM,250 SX-F,2011,2025,13,50,520,118,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
KTM,350 SX-F,2011,2025,14,50,520,118,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
KTM,450 SX-F,2007,2019,14,50,520,118,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
KTM,450 SX-F,2020,2025,13,49,520,118,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
KTM,250 EXC-F,2007,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
KTM,300 EXC TPI,2018,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
KTM,350 EXC-F,2012,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
KTM,500 EXC-F,2012,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
KTM,RC 390,2015,2025,15,44,520,110,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
KTM,Duke 390,2014,2025,15,44,520,110,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
KTM,790 Duke,2018,2023,16,44,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
KTM,890 Duke R,2020,2025,16,44,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
KTM,690 Enduro R,2008,2025,15,45,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
KTM,690 SMC R,2014,2025,16,42,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
KTM,890 Adventure,2021,2025,16,44,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
KTM,1290 Super Duke R,2014,2025,17,40,525,118,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
KTM,1290 Super Adventure,2015,2025,17,42,525,120,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
KTM,RC 8C,2022,2025,16,40,520,112,DID 520ZVMX,https://www.didchain.com/collections/street-chains/products/520zvmx/
Husqvarna,FC 250,2014,2025,13,50,520,118,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Husqvarna,FC 350,2014,2025,14,50,520,118,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Husqvarna,FC 450,2014,2025,14,50,520,118,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Husqvarna,TC 125,2014,2025,13,50,520,118,DID 520MX,https://www.didchain.com/collections/street-chains/products/520mx/
Husqvarna,TC 250,2014,2025,13,50,520,118,DID 520MX,https://www.didchain.com/collections/street-chains/products/520mx/
Husqvarna,FE 350,2014,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Husqvarna,FE 501,2014,2025,14,48,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Husqvarna,TE 300i,2018,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Husqvarna,701 Supermoto,2016,2025,15,45,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Husqvarna,701 Enduro,2016,2025,15,45,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Husqvarna,Norden 901,2022,2025,16,44,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Husqvarna,Vitpilen 401,2018,2020,15,44,520,110,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Husqvarna,Svartpilen 401,2018,2023,15,44,520,110,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Ducati,Panigale 899,2014,2015,15,44,520,106,DID 520ZVMX,https://www.didchain.com/collections/street-chains/products/520zvmx/
Ducati,Panigale 959,2016,2019,15,43,520,106,DID 520ZVMX,https://www.didchain.com/collections/street-chains/products/520zvmx/
Ducati,Panigale 1199,2012,2014,15,39,525,104,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Ducati,Panigale 1299,2015,2018,15,39,525,104,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Ducati,Panigale V2,2020,2025,15,43,520,106,DID 520ZVMX,https://www.didchain.com/collections/street-chains/products/520zvmx/
Ducati,Panigale V4,2018,2025,16,41,525,114,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Ducati,Streetfighter V4,2020,2025,15,42,525,116,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Ducati,Streetfighter V2,2022,2025,15,45,520,106,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Ducati,Monster 821,2014,2020,15,46,520,106,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Ducati,Monster 937,2021,2025,15,46,520,106,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Ducati,Monster 1200,2014,2021,15,42,525,108,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Ducati,Hypermotard 950,2019,2024,15,45,520,106,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Ducati,Scrambler 800,2015,2024,15,46,520,106,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Ducati,Scrambler 1100,2018,2023,15,41,525,106,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Ducati,SuperSport 950,2021,2025,15,43,520,106,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Ducati,Multistrada 1260,2018,2020,15,43,525,110,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Ducati,Multistrada V4,2021,2025,16,42,525,124,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Ducati,Multistrada V2,2022,2025,15,43,520,110,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Ducati,DesertX,2022,2025,15,46,520,114,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Ducati,Diavel V4,2023,2025,17,42,525,120,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
BMW,S1000RR,2010,2018,17,44,525,118,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
BMW,S1000RR,2019,2022,17,45,525,120,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
BMW,S1000RR,2023,2025,17,46,525,122,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
BMW,M1000RR,2021,2025,17,45,525,120,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
BMW,S1000R,2014,2025,17,45,525,118,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
BMW,S1000XR,2015,2025,17,45,525,118,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
BMW,F900R,2020,2025,17,46,525,120,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
BMW,F900XR,2020,2025,17,46,525,120,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
BMW,F850GS,2018,2025,17,44,525,122,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
BMW,F750GS,2018,2025,17,44,525,122,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
BMW,G310R,2017,2025,16,40,520,112,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
BMW,G310GS,2017,2025,16,40,520,112,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
GasGas,MC 125,2021,2025,13,50,520,118,DID 520MX,https://www.didchain.com/collections/street-chains/products/520mx/
GasGas,MC 250F,2021,2025,13,50,520,118,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
GasGas,MC 350F,2022,2025,14,50,520,118,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
GasGas,MC 450F,2021,2025,14,50,520,118,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
GasGas,EX 250F,2021,2025,13,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
GasGas,EX 350F,2022,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
GasGas,EC 300,2021,2025,13,48,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
GasGas,SM 700,2022,2025,15,45,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
GasGas,ES 700,2023,2025,15,45,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Aprilia,RSV4,2009,2025,16,42,525,110,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Aprilia,Tuono V4,2011,2025,16,42,525,110,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Aprilia,RS 660,2021,2025,15,43,520,110,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Aprilia,Tuono 660,2021,2025,15,43,520,110,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Aprilia,Tuareg 660,2022,2025,15,44,520,112,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Aprilia,Shiver 900,2017,2022,16,44,525,108,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Aprilia,Dorsoduro 900,2017,2022,16,44,525,108,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Aprilia,RS 125,2006,2012,13,60,428,134,DID 428VX,https://www.didchain.com/collections/street-chains/products/428vx/
Triumph,Street Triple 765,2017,2025,16,47,525,116,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Triumph,Daytona 765,2020,2025,16,47,525,116,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Triumph,Speed Triple 1200,2021,2025,16,44,525,112,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Triumph,Speed Triple 1050,2011,2020,18,42,530,106,DID 530ZVMX,https://www.didchain.com/collections/street-chains/products/530zvmx/
Triumph,Trident 660,2021,2025,15,47,520,112,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Triumph,Speed 400,2023,2025,14,41,520,106,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Triumph,Scrambler 400 X,2024,2025,14,41,520,106,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Triumph,Tiger 900,2020,2025,16,50,525,122,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Triumph,Tiger 850 Sport,2021,2025,16,50,525,122,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Triumph,Tiger 1200,2022,2025,17,45,525,122,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Triumph,Bonneville T120,2016,2025,17,37,525,100,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Triumph,Bonneville T100,2017,2025,17,41,520,102,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Triumph,Street Twin,2016,2024,17,41,520,102,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Triumph,Street Scrambler,2017,2025,17,41,520,102,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Triumph,Thruxton 1200,2016,2021,18,42,525,100,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Triumph,Scrambler 1200,2019,2025,16,46,525,114,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Indian,FTR 1200,2019,2021,17,49,525,118,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Indian,FTR S,2022,2025,17,45,525,114,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Indian,FTR R Carbon,2022,2024,17,45,525,114,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Indian,FTR Rally,2022,2023,17,49,525,116,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Indian,FTR Sport,2022,2025,17,45,525,114,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Beta,RR 300,2013,2025,13,48,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Beta,RR 350,2011,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Beta,RR 390,2015,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Beta,RR 430,2015,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Beta,RR 480,2015,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Beta,RR 200,2019,2025,13,48,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Sherco,SE-R 250,2014,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Sherco,SE-R 300,2014,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Sherco,SEF-R 450,2015,2025,14,50,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
CFMoto,700CL-X,2022,2025,16,43,525,112,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
CFMoto,450SS,2024,2025,14,46,520,112,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Royal Enfield,Continental GT 650,2018,2025,15,38,525,106,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Royal Enfield,Interceptor 650,2018,2025,15,38,525,106,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Royal Enfield,Himalayan 450,2024,2025,15,48,520,118,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
